ID user,Gender,Faculty,Major,Dormitory,Activity,Social
10001,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,At Home,"เล่นเกม,อ่านหนังสือ,เล่นดนตรี,ออกกำลังกาย,เล่นโซเชียล,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10002,หญิง,เภสัชศาสตร์,บริบาลเภสัชกรรม,At home,"อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10003,หญิง,มัณทณศิลป์,อินทีเรีย,At home,"สวดมนต์นั่งสมาธิ,เล่นโซเชียล,สร้างงานศิลปะ,ทำความสะอาดห้อง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10004,หญิง,วิทยาศาตร์,วิทยาการข้อมูล,BPN,"เล่นเกม,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10005,หญิง,วิศวะกรรมศาสตร์,ธุรกิจวิศวกรรม,DHAVA PLACE ,"เล่นเกม,อ่านหนังสือ,สวดมนต์นั่งสมาธิ,เล่นโซเชียล,สร้างงานศิลปะ,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอน",ชอบอยู่คนเดียว
10006,ชาย,อักษรศาสตร์,ปรัชญา,I place,"เล่นเกม,สวดมนต์นั่งสมาธิ,ออกกำลังกาย,เล่นโซเชียล,ดูหนัง",ชอบอยู่คนเดียว
10007,หญิง,วิศวะกรรมศาสตร์,เทคโนโลยีอาหาร,Inroom,"เล่นเกม,เล่นโซเชียล,ทำความสะอาดห้อง,ทำการบ้าน,ปลูกต้นไม้รดน้ำต้นไม้",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10008,หญิง,เภสัชศาสตร์,บริบาลเภสัชกรรม,Inroom,"เล่นโซเชียล,นอนเล่น",ชอบอยู่คนเดียว
10009,หญิง,อักษรศาสตร์,สารสนเทศศาสตร์และบรรณารักษศาสตร์,Inroom,"เล่นเกม,อ่านหนังสือ,เล่นดนตรี,เล่นโซเชียล,สร้างงานศิลปะ,ทำอาหาร,ดูหนัง",ชอบอยู่คนเดียว
10010,ชาย,วิทยาศาตร์,Computer Science,JK place,เล่นเกม,ชอบอยู่คนเดียว
10011,ชาย,วิทยาศาตร์,เคมี,JK place,"เล่นเกม,อ่านหนังสือ,ทำความสะอาดห้อง",สามารถอยู่ร่วมกับเมทได้
10012,หญิง,วิศวะกรรมศาสตร์,วิศวกรรมกระบวนการชีวภาพ,JK place,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10013,ชาย,วิศวะกรรมศาสตร์,อิเล็กทรอนิคเเละระบบคอม,JK place,"เล่นเกม,อ่านหนังสือ,เล่นดนตรี,สวดมนต์นั่งสมาธิ,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10014,หญิง,วิทยาศาตร์,Computer Science,KP Home,"เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง",ชอบอยู่คนเดียว
10015,หญิง,ศึกษาศาสตร์,เทคโนโลยีเพื่อการศึกษา,KP Home,"เล่นเกม,เลี้ยงสัตว์,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10016,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,L20 Residents ,"เล่นเกม,อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง",ชอบอยู่คนเดียว
10017,หญิง,วิทยาศาตร์,คณิตศาสตร์,BPN,"อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10018,หญิง,วิทยาศาตร์,วิทยาศาสตร์สิ่งแวดล้อม,PJ Smile Place,"เล่นเกม,อ่านหนังสือ,สวดมนต์นั่งสมาธิ,ออกกำลังกาย,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10019,หญิง,ศึกษาศาสตร์,สังคมศึกษา,PJ Smile Place,"เล่นเกม,อ่านหนังสือ,เลี้ยงสัตว์,สวดมนต์นั่งสมาธิ,เล่นโซเชียล,สร้างงานศิลปะ,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
