ID user,IDDor,rating
10001,1,1
10002,2,2
10003,3,3
10004,4,4
10005,5,5
10006,6,4
10007,7,1
10008,8,1
10009,9,4
10010,10,5
10011,11,5
10012,12,2
10013,13,2
10014,14,3
10015,15,1
10016,16,5
10017,17,2
10018,18,4
10019,19,4
10020,20,1
10021,21,5
10022,22,5
10023,23,5
10024,24,2
10025,25,4
10026,26,5
10027,27,3
10028,28,5
10029,29,5
10030,30,1
10031,31,3
10032,32,5
10033,33,4
10034,34,5
10035,35,2
10036,36,1
10037,37,1
10038,38,2
10039,39,2
10040,40,1
10041,41,2
10042,42,4
10043,43,3
10044,44,4
10045,45,1
10046,46,2
10047,47,3
10048,48,3
10049,49,5
10050,50,2
10051,51,5
10052,52,1
10053,53,3
10054,54,2
10055,55,3
10056,56,5
10057,57,1
10058,58,2
10059,59,5
10060,60,3
10061,61,3
10062,62,5
10063,63,3
10064,64,2
10065,65,4
10066,66,2
10067,67,5
10068,68,5
10069,69,5
10070,70,5
10071,71,1
10072,72,2
10073,73,4
10074,74,1
10075,75,1
10076,76,1
10077,77,1
10078,78,3
10079,79,2
10080,80,4
10081,81,4
10082,82,1
10083,83,4
10084,84,1
10085,85,1
10086,86,1
10087,87,2
10088,88,1
10089,89,2
10090,90,2
10091,91,1
10092,92,3
10093,70,5
10094,15,5
10095,5,3
10096,28,2
10097,41,2
10098,7,1
10099,3,4
10100,61,2
10101,29,2
10102,4,2
10103,86,5
10104,21,3
10105,47,3
10106,16,2
10107,77,4
10108,51,5
10109,87,2
10110,47,2
10111,9,2
10112,78,3
10113,83,1
10114,53,2
10115,17,2
10116,39,2
10117,23,3
10118,34,4
10119,36,2
10120,21,3
10121,40,3
10122,13,2
10123,38,5
10124,19,5
10125,79,1
10126,45,3
10127,64,2
10128,53,2
10129,18,3
10130,49,5
10131,83,1
10132,9,1
10133,39,1
10134,77,1
10135,74,3
10136,59,4
10137,34,4
10138,40,1
10139,69,1
10140,34,3
10141,64,1
10142,48,2
10143,14,2
10144,86,1
10145,43,5
10146,82,2
10147,78,4
10148,54,4
10149,20,5
10150,57,3
10151,6,2
10152,9,2
10153,59,3
10154,71,2
10155,26,4
10156,89,1
10157,73,2
10158,39,4
10159,65,2
10160,4,2
10161,29,5
10162,87,5
10163,47,4
10164,66,3
10165,58,2
10166,11,5
10167,73,5
10168,65,5
10169,10,2
10170,80,4
10171,33,4
10172,59,1
10173,34,2
10174,41,3
10175,23,3
10176,82,4
10177,9,3
10178,81,2
10179,53,4
10180,2,3
10181,82,3
10182,33,5
10183,85,3
10184,84,5
10185,5,1
10186,83,5
10187,25,1
10188,66,4
10189,11,2
10190,66,2
10191,1,5
10192,55,1
10193,2,2
10194,55,3
10195,32,1
10196,60,1
10197,22,1
10198,74,1
10199,24,4
10200,16,4
10201,26,2
10202,24,4
10203,48,5
10204,38,1
10205,21,3
10206,69,5
10207,88,1
10208,76,4
10209,30,5
10210,39,2
10211,69,2
10212,30,5
10213,76,3
10214,42,4
10215,66,3
10216,58,4
10217,27,1
10218,63,4
10219,37,3
10220,13,1
10221,64,4
10222,13,4
10223,40,2
10224,61,3
10225,11,3
10226,18,4
10227,65,1
10228,35,2
10229,4,1
10230,75,5
10231,19,3
10232,87,5
10233,46,4
10234,89,1
10235,58,3
10236,40,3
10237,56,5
10238,58,2
10239,57,2
10240,68,5
10241,27,3
10242,78,3
10243,84,2
10244,81,1
10245,49,2
10246,34,1
10247,21,1
10248,62,4
10249,41,2
10250,46,5
10251,2,2
10252,63,2
10253,14,3
10254,87,4
10255,72,1
10256,3,5
10257,8,4
10258,8,5
10259,90,4
10260,48,1
10261,75,5
10262,6,5
10263,85,2
10264,25,4
10265,60,3
10266,59,5
10267,86,3
10268,90,5
10269,53,4
10270,73,3
10271,5,3
10272,60,3
10273,4,4
10274,5,1
10275,56,2
10276,46,2
10277,70,4
10278,50,3
10279,66,3
10280,68,1
10281,86,5
10282,54,4
10283,42,1
10284,32,2
10285,83,3
10286,58,5
10287,21,2
10288,19,1
10289,65,4
10290,41,3
10291,85,3
10292,61,4
10293,2,4
10294,69,1
10295,12,4
10296,68,1
10297,32,5
10298,91,3
10299,40,5
10300,34,1
10301,48,1
10302,36,3
10303,82,2
10304,2,5
10305,10,3
10306,65,5
10307,88,2
10308,34,2
10309,41,3
10310,74,4
10311,22,5
10312,73,1
10313,56,2
10314,17,5
10315,58,3
10316,13,1
10317,86,4
10318,83,2
10319,45,5
10320,29,5
10321,71,3
10322,36,5
10323,37,5
10324,25,5
10325,70,5
10326,12,1
10327,57,3
10328,81,4
10329,50,5
10330,35,2
10331,24,1
10332,60,5
10333,42,4
10334,22,4
10335,62,1
10336,55,2
10337,14,3
10338,78,2
10339,10,3
10340,52,2
10341,79,5
10342,59,4
10343,66,2
10344,21,4
10345,36,1
10346,76,5
10347,67,1
10348,36,2
10349,70,4
10350,46,4
10351,45,5
10352,57,2
10353,1,2
10354,11,5
10355,56,2
10356,51,1
10357,19,3
10358,14,3
10359,35,5
10360,22,1
10361,55,4
10362,45,1
10363,35,3
10364,41,5
10365,31,1
10366,8,3
10367,51,2
10368,41,4
10369,13,1
10370,87,4
10371,25,4
10372,49,4
10373,66,2
10374,82,5
10375,81,1
10376,41,3
10377,39,3
10378,15,2
10379,70,3
10380,16,1
10381,56,4
10382,27,5
10383,77,1
10384,77,5
10385,90,2
10386,10,2
10387,32,4
10388,20,1
10389,86,3
10390,31,5
10391,5,5
10392,76,4
10393,75,2
10394,25,4
10395,45,3
10396,28,2
10397,81,2
10398,29,5
10399,58,4
10400,89,5
10401,38,2
10402,56,2
10403,47,4
10404,30,3
10405,81,3
10406,7,5
10407,22,5
10408,44,5
10409,79,4
10410,85,5
10411,54,2
10412,16,3
10413,91,3
10414,15,4
10415,75,3
10416,80,4
10417,74,2
10418,40,2
10419,50,3
10420,4,2
10421,13,5
10422,74,5
10423,63,1
10424,87,2
10425,82,5
10426,24,1
10427,5,5
10428,83,1
10429,38,4
10430,17,4
10431,11,3
10432,75,2
10433,58,2
10434,16,3
10435,27,3
10436,79,1
10437,65,3
10438,87,1
10439,36,1
10440,21,1
10441,92,4
10442,34,1
10443,40,3
10444,45,1
10445,18,5
10446,30,2
10447,51,5
10448,36,4
10449,88,1
10450,12,5
10451,44,3
10452,26,2
10453,32,2
10454,7,4
10455,45,2
10456,90,5
10457,52,5
10458,20,4
10459,70,2
10460,42,3
10461,47,5
10462,66,1
10463,20,5
10464,18,4
10465,68,2
10466,90,3
10467,1,3
10468,87,3
10469,79,3
10470,22,2
10471,41,2
10472,71,5
10473,89,2
10474,84,5
10475,92,5
10476,77,3
10477,92,3
10478,5,1
10479,7,3
10480,66,3
10481,21,1
10482,11,2
10483,12,3
10484,20,1
10485,87,1
10486,86,5
10487,74,5
10488,17,3
10489,60,3
10490,4,3
10491,3,4
10492,26,3
10493,8,5
10494,74,3
10495,22,3
10496,90,5
10497,17,5
10498,72,2
10499,57,3
10500,4,3
10501,41,3
10502,12,5
10503,42,3
10504,38,2
10505,76,1
10506,70,2
10507,30,3
10508,82,3
10509,50,3
10510,30,4
10511,69,1
10512,51,2
10513,54,4
10514,82,1
10515,56,5
10516,64,2
10517,76,4
10518,27,1
10519,39,3
10520,9,1
10521,63,5
10522,21,3
10523,10,2
10524,37,3
10525,63,3
10526,57,2
10527,92,3
10528,73,2
10529,27,5
10530,32,2
10531,82,5
10532,58,2
10533,55,3
10534,17,4
10535,51,2
10536,3,1
10537,78,5
10538,25,3
10539,70,2
10540,84,2
10541,4,3
10542,89,2
10543,60,2
10544,40,3
10545,61,5
10546,22,5
10547,31,4
10548,24,1
10549,52,2
10550,91,1
10551,48,2
10552,14,3
10553,32,4
10554,88,5
10555,67,2
10556,92,4
10557,52,4
10558,20,1
10559,8,3
10560,67,3
10561,81,2
10562,30,4
10563,82,1
10564,48,4
10565,20,3
10566,60,1
10567,87,5
10568,40,1
10569,9,1
10570,45,5
10571,41,3
10572,32,3
10573,18,3
10574,77,2
10575,7,3
10576,62,5
10577,27,5
10578,80,2
10579,69,5
10580,19,3
10581,50,1
10582,56,1
10583,88,2
10584,58,4
10585,63,5
10586,20,4
10587,55,2
10588,6,4
10589,26,2
10590,36,5
10591,3,3
10592,14,3
10593,55,4
10594,32,3
10595,30,5
10596,90,3
10597,77,3
10598,20,5
10599,87,1
10600,70,1
10601,78,1
10602,29,2
10603,24,2
10604,2,4
10605,18,4
10606,49,1
10607,91,2
10608,39,2
10609,30,3
